id.f2 	 id.f2.ma 	 id.f2.fa 	 fa.h 	 ma.h 	 ma.l 	 fa.l 
854	280	200	1815	1736	1988	2048
855	280	200	1815	1736	1988	2048
856	280	200	1815	1736	1988	2048
857	280	200	1815	1736	1988	2048
858	280	200	1815	1736	1988	2048
859	280	200	1815	1736	1988	2048
861	174	271	1736	1654	1997	1926
862	174	271	1736	1654	1997	1926
863	174	271	1736	1654	1997	1926
864	174	271	1736	1654	1997	1926
865	174	271	1736	1654	1997	1926
866	174	271	1736	1654	1997	1926
867	174	271	1736	1654	1997	1926
868	161	271	1736	1844	1959	1926
869	161	271	1736	1844	1959	1926
870	161	271	1736	1844	1959	1926
871	161	271	1736	1844	1959	1926
872	161	271	1736	1844	1959	1926
873	161	271	1736	1844	1959	1926
874	161	271	1736	1844	1959	1926
875	161	271	1736	1844	1959	1926
876	161	271	1736	1844	1959	1926
877	161	271	1736	1844	1959	1926
878	161	271	1736	1844	1959	1926
879	210	271	1736	1897	2064	1926
880	210	271	1736	1897	2064	1926
881	210	271	1736	1897	2064	1926
883	210	271	1736	1897	2064	1926
884	210	271	1736	1897	2064	1926
885	210	271	1736	1897	2064	1926
886	210	271	1736	1897	2064	1926
887	210	271	1736	1897	2064	1926
888	210	271	1736	1897	2064	1926
889	225	271	1736	1712	2130	1926
890	225	271	1736	1712	2130	1926
891	225	271	1736	1712	2130	1926
892	225	271	1736	1712	2130	1926
894	225	271	1736	1712	2130	1926
895	225	271	1736	1712	2130	1926
897	225	271	1736	1712	2130	1926
898	225	271	1736	1712	2130	1926
899	225	271	1736	1712	2130	1926
900	225	271	1736	1712	2130	1926
901	225	271	1736	1712	2130	1926
902	225	271	1736	1712	2130	1926
903	225	271	1736	1712	2130	1926
904	225	271	1736	1712	2130	1926
905	225	271	1736	1712	2130	1926
907	177	271	1736	1812	1997	1926
908	177	271	1736	1812	1997	1926
909	177	271	1736	1812	1997	1926
910	177	271	1736	1812	1997	1926
912	177	271	1736	1812	1997	1926
913	177	271	1736	1812	1997	1926
914	177	271	1736	1812	1997	1926
915	177	271	1736	1812	1997	1926
916	177	271	1736	1812	1997	1926
917	211	271	1736	1897	2064	1926
918	211	271	1736	1897	2064	1926
919	211	271	1736	1897	2064	1926
920	211	271	1736	1897	2064	1926
922	211	271	1736	1897	2064	1926
923	185	271	1736	1896	1997	1926
925	185	271	1736	1896	1997	1926
926	185	271	1736	1896	1997	1926
927	185	271	1736	1896	1997	1926
929	185	271	1736	1896	1997	1926
930	185	271	1736	1896	1997	1926
931	185	271	1736	1896	1997	1926
932	185	271	1736	1896	1997	1926
933	185	271	1736	1896	1997	1926
934	185	271	1736	1896	1997	1926
935	185	271	1736	1896	1997	1926
936	185	271	1736	1896	1997	1926
937	145	271	1736	1720	1932	1926
938	145	271	1736	1720	1932	1926
940	145	271	1736	1720	1932	1926
941	145	271	1736	1720	1932	1926
942	145	271	1736	1720	1932	1926
943	145	271	1736	1720	1932	1926
944	212	271	1736	1897	2064	1926
945	212	271	1736	1897	2064	1926
946	212	271	1736	1897	2064	1926
947	212	271	1736	1897	2064	1926
948	212	271	1736	1897	2064	1926
949	212	271	1736	1897	2064	1926
950	212	271	1736	1897	2064	1926
